date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegreen,lineray1,linefox,linedunk,linedok
11/2/2007,San Antonio,96,Sacramento,80,14.5,11.95,13.55,16.41,12.55,14.5,4.57,16.2,.,6.7,15,15.22,10.23
11/3/2007,Dallas,123,Sacramento,102,15,11.45,14.3,14.35,14.26,14.5,5.05,15.9,.,8.57,10,16.98,10.16
11/3/2007,Houston,89,Portland,80,11.5,12.03,21.6,23.78,19.92,12,5.1,15,.,8.47,13,9.84,8.5
11/3/2007,Memphis,111,Indiana,121,5,2.1,-0.58,-4.67,3.22,2.5,1.43,5.3,.,-1.17,6,5.47,1.96
11/3/2007,Milwaukee,78,Chicago,72,-3,-2.72,1.44,1.05,1.76,-2.5,3,-2.3,.,-4.13,-7,-6.66,-2.08
11/3/2007,Philadelphia,88,New Jersey,93,-0.5,3.32,9.28,4.4,15.91,-2.5,3,0.9,.,4.51,0.01,4.04,1.17
11/3/2007,Utah,133,Golden State,110,9.5,7.85,14.73,13.81,15.75,8.5,5.05,8.8,.,7.93,4,10.19,4.94
11/3/2007,Washington,82,Orlando,94,2,-0.63,-0.77,-0.88,-0.67,2.5,1.95,3.7,.,-7.16,-5,-3.33,2.9
11/4/2007,Denver,88,New orleans,93,5,4.5,3.34,5.15,1.68,6,3,9.6,.,5.39,3,1.53,6.21
11/4/2007,Detroit,92,Atlanta,91,7.5,11.56,14.53,14.21,15.45,8.5,3.52,15.7,.,1.12,14,17.36,11.19
11/4/2007,LA Clippers,115,Seattle,101,6.5,7.66,11.18,13.49,8.75,6,4.58,6.7,.,7.24,10,11.66,5.23
11/4/2007,LA Lakers,119,Utah,109,0,1.86,4.55,4.89,4.14,-2,1.48,3.3,.,1.31,-1,6.07,1.98
11/4/2007,Miami,88,Charlotte,90,3,4.65,5.5,2.32,8.94,3,1.42,11.3,.,-0.25,1,3.58,7.64
11/4/2007,New York,97,Minnesota,93,8.5,5.17,2.74,1.32,3.99,9.5,3,9,.,1.78,11,9.63,2.64
11/4/2007,Phoenix,103,Cleveland,92,8.5,5.13,5.58,6.23,5.23,8,4,8,.,9.7,2,2.43,5.94
11/4/2007,Toronto,95,Boston,98,1.5,7.5,14.75,14.21,17.29,2.5,3.52,1.8,.,9.98,2,6.69,7.32
11/5/2007,Dallas,107,Houston,98,4.5,4.54,-0.14,-3.14,3.43,5,2.95,6.6,.,4.98,4,9.33,8.1
11/6/2007,Charlotte,83,Phoenix,115,-4.5,-1.9,-0.39,1.81,-2.63,-5.5,4.53,-5,.,-0.95,-1,0.61,-4.17
11/6/2007,Chicago,91,LA Clippers,97,8,3.42,-1.27,-6.45,2.43,7,0.37,11.6,.,0.81,5,0.45,6.49
11/6/2007,Golden State,104,Cleveland,108,2,0.48,-4.83,-4.35,-6.31,-1,2.95,1,.,5.62,1,4.22,2.17
11/6/2007,Houston,89,San Antonio,81,-2.5,0.93,4.5,1.28,6.63,-1,3.47,3.1,.,1.97,-2,-4.12,-0.33
11/6/2007,LA Lakers,104,New orleans,118,2.5,2.04,0.45,0.03,0.97,3.5,1.95,7.8,.,2.79,2,-3.13,5.75
11/6/2007,Milwaukee,112,Toronto,85,-3,-2.46,-1.3,-3.86,1.04,-1,-0.05,0.1,.,-11.54,-2,-4.44,0.11
11/6/2007,Minnesota,103,Orlando,111,-6.5,-3.77,-5.39,-6.59,-5.08,-7,1.43,-2.6,.,-4,-11,-9.22,3.41
11/6/2007,New Jersey,87,Atlanta,82,4,4.01,0.53,1.75,-1.24,4.5,1.52,9,.,-0.2,7,1.37,8.98
11/6/2007,New York,119,Denver,112,-3,-2.3,-3.24,-2.19,-4.65,-2.5,0.98,-0.1,.,-4.52,-4,-5.3,-0.4
11/6/2007,Sacramento,104,Seattle,98,2,3.8,7.28,9.22,5.2,3,3,6.4,.,3.78,3,1.3,5.18
11/7/2007,Atlanta,105,Phoenix,96,-5.5,-1.77,0.71,-1.77,4.05,-5,3.63,-5.4,.,6.33,-6,0.47,-5.13
11/7/2007,Boston,119,Denver,93,6,3.06,6.49,8.69,4.34,5.5,2.06,8.1,.,3.11,3,3.27,-1.3
11/7/2007,Indiana,89,LA Clippers,104,6.5,0.88,1.1,4.84,-2.83,5.5,3,2.9,.,5.12,-4,-1.93,2.9
11/7/2007,Philadelphia,94,Charlotte,63,4,3.63,1.63,0.53,2.88,3.5,1.95,5.2,.,7.29,5,2.07,5.83
11/7/2007,Portland,93,New orleans,90,-2.5,-4.19,-9.28,-9.89,-8.71,-2.5,-0.67,0.5,.,-3.76,-10,-9.03,2.51
11/7/2007,San Antonio,88,Miami,78,11.5,11.21,13.27,15.62,11.32,10.5,6.62,11.2,.,13.69,11,10.92,9.59
11/7/2007,Seattle,98,Memphis,105,-1,2.09,2.87,1.21,4.38,-2.5,1.94,5.4,.,0.01,1,-5.2,5.23
11/7/2007,Toronto,96,Orlando,105,4.5,2.79,1.21,1.58,0.84,4,3.95,4.6,.,8.43,-2,-0.06,5.58
11/7/2007,Utah,103,Cleveland,101,9.5,5.51,4.71,1.43,8.21,9,7,5.2,.,13,5,8.13,3.59
11/8/2007,Chicago,97,Detroit,93,0,-3.01,-11.48,-15.22,-9.07,1,-0.68,1.2,.,-0.14,-2,-8.56,1.17
11/8/2007,Golden State,115,Dallas,120,-7.5,-5.58,-13.66,-11.7,-16.55,-7.5,-1.15,-3.5,.,-7.33,1,-10.67,-2.61
11/8/2007,New Jersey,87,Washington,85,6,8.08,9.86,9.81,10.12,6.5,3.62,7,.,10.6,12,12.69,6.65
11/9/2007,Boston,106,Atlanta,83,8.5,6.42,6.11,7.88,3.91,8,3.38,13.6,.,6.32,7,10.19,3.41
11/9/2007,Charlotte,96,Indiana,87,1.5,0.46,-1.65,-1.11,-6.46,2,1.39,5.2,.,-8.05,4,2.39,0.9
11/9/2007,Detroit,103,LA Clippers,79,8,5.83,4.58,-0.3,8.39,7.5,2.95,12.6,.,0.81,7,5.23,5.74
11/9/2007,Houston,104,Milwaukee,88,9,10.45,12.68,12.29,13.13,9,6.57,12.8,.,7.07,9,17.36,9.11
11/9/2007,LA Lakers,107,Minnesota,93,10.5,10.58,12.88,15.68,12.2,10.5,5.57,12.6,.,7.94,16,17.24,6.02
11/9/2007,Miami,101,Phoenix,106,-8,-3.74,-4.95,-7.01,-3.52,-6.5,0.38,-0.1,.,-5.86,-5,-6.46,-1.31
11/9/2007,New York,102,Orlando,112,0,-1.3,-3.64,-2.64,-5.15,-1,1.46,0.6,.,-3.85,-5,1.72,0.29
11/9/2007,New orleans,85,San Antonio,97,-3.5,0.48,2.87,0.56,4.78,-3,3,-2.1,.,3.77,1,5.08,-3.83
11/9/2007,Philadelphia,103,Toronto,105,-2,2.21,3.59,2.15,5.03,1,1.51,1.1,.,-0.79,7,6.17,1
11/9/2007,Portland,110,Memphis,98,2.5,3,6.02,8.18,3.96,1.5,2.47,6,.,2.05,-1,-1.31,3.72
11/9/2007,Sacramento,91,Cleveland,93,-6,-1.5,0.35,1.02,-0.45,-6,3.48,-2.2,.,5.73,-6,-4.32,-0.95
11/9/2007,Seattle,101,Utah,103,-5.5,-5.28,-6.73,-8.85,-5.74,-6,-2.15,-4.2,.,-4.32,-9,-10,-1.38
11/9/2007,Washington,92,Denver,118,-2.5,-0.45,-0.19,0.65,-1.03,-2,-0.57,1.5,.,-3.41,-2,4.24,-1.74
11/10/2007,Chicago,71,Toronto,101,6.5,2.51,-2.75,-0.16,-5.84,6,-1.2,7.2,.,-0.57,7,1.48,5.55
11/10/2007,Indiana,106,Denver,113,-1.5,-1.16,0.22,3.67,-3.47,0,2.09,-3.3,.,0.96,-4,-2.65,1.2
11/10/2007,New Jersey,101,Boston,112,-2,-0.58,-4.91,-0.85,-9.82,2,-0.53,-0.8,.,-6.01,0.01,-3.78,7.87
11/10/2007,Orlando,96,Phoenix,106,-1,2.18,5,4.76,5.24,-1.5,4.05,1,.,6.52,1,4.65,0.11
11/10/2007,Portland,91,Dallas,82,-8,-4.73,-4.22,-3.37,-5.32,-8,-2.1,-6.2,.,-3,-6,-3.17,-6.39
11/10/2007,Sacramento,100,Minnesota,93,4.5,5.53,5.14,7.1,3.99,3.5,2.52,7.6,.,3.25,8,7.57,4.8
11/10/2007,Utah,118,Memphis,94,10,9.31,8.71,10.54,6.9,10.5,8.09,13.5,.,6.81,11,8.21,7.9
11/11/2007,Atlanta,90,Washington,101,5.5,7.55,14.71,13.47,16.07,4.5,6.3,4.6,.,12.51,9,11.59,1.29
11/11/2007,Charlotte,82,Houston,85,-6.5,-6.32,-8.65,-6.62,-12.14,-5.5,-0.57,-5.7,.,-9.28,-6,-12.54,-3.62
11/11/2007,LA Clippers,95,Cleveland,103,0,3.69,6.13,5.51,6.78,-1,8.58,0,.,9.74,2,7.47,1.33
11/11/2007,New York,72,Miami,75,3,3.28,5.89,8.59,4.07,4,5.37,1.3,.,7.96,1,2.42,-0.19
11/11/2007,Philadelphia,72,New orleans,93,-2.5,-0.69,-3.06,-2.29,-4.03,-2,0.43,1.1,.,0.99,0.01,-5.26,1.6
11/11/2007,San Antonio,113,Milwaukee,88,10.5,11.73,13.5,13.37,14.34,10.5,6.62,14.8,.,8.4,14,8.69,10.32
11/11/2007,Seattle,103,Detroit,107,-6.5,-8.45,-12.51,-14.37,-12.97,-6.5,-2.73,-7.3,.,-6.91,-11,-15.14,-3.95
11/12/2007,Denver,122,Cleveland,100,8,4.22,5.37,1.92,9.22,6.5,8,4.4,.,10.06,0.01,5.17,4.58
11/12/2007,New Jersey,82,New orleans,84,-1.5,-0.86,-7.23,-2.27,-14.24,2,-2.52,3.9,.,0.86,-2,-3.36,5.02
11/12/2007,Utah,117,Sacramento,93,14,9.84,9.57,9.83,9.36,13,9.62,12.4,.,8.09,14,10.31,6.23
11/13/2007,Charlotte,91,Miami,76,1.5,1.26,4.55,7.82,0.79,2,5.1,-1,.,1.54,0.01,-3.32,0.3
11/13/2007,Dallas,99,Philadelphia,84,11,9.93,9.37,10.27,8.49,11.5,5.1,16.4,.,7.53,7,14.13,8.9
11/13/2007,Indiana,86,Boston,101,-7,-5.01,-11.2,-9.21,-14.33,-6,0.93,-6.8,.,-6.84,-8,-7.9,2.74
11/13/2007,Memphis,105,Houston,99,-6.5,-5.9,-9.85,-12.86,-7.91,-7,-3.19,-6.2,.,-4.08,-6,-2.76,-4.13
11/13/2007,Orlando,103,Seattle,76,10.5,10.92,15.41,17.13,15.42,10,9.25,12.6,.,13.72,11,15.16,5.65
11/13/2007,Phoenix,113,New York,102,12,10.86,11.99,11.36,12.67,11.5,5.35,14.9,.,6.38,14,11.8,8.87
11/13/2007,Portland,102,Detroit,94,-5,-2.58,2.27,7.32,-2.54,-4.5,-2.1,-4.5,.,-2.49,-9,0.72,-1.43
11/13/2007,San Antonio,107,LA Lakers,92,8,7.97,6.86,8.91,5.82,8.5,5.09,11.7,.,4.34,9,2.82,7.27
11/14/2007,Atlanta,117,Charlotte,109,5.5,4.66,5.84,3.92,8.14,5,4.63,5.3,.,8,3,0.7,4.87
11/14/2007,Boston,91,New Jersey,69,10.5,10.94,15.49,13.22,17.96,9.5,8.63,11.9,.,12.41,9,12.8,2.66
11/14/2007,Cleveland,116,Orlando,117,3,-0.06,-2.44,1.22,-7.79,4.5,-3.1,5.9,.,-9.79,1,-0.57,4.97
11/14/2007,Denver,110,Portland,93,10.5,5.44,0.93,-2.91,4.64,10,7.52,10.9,.,5.48,10,1.59,7.58
11/14/2007,Golden State,104,Detroit,111,-2.5,-5.24,-8.96,-8.76,-9.18,-3,-3.19,-2,.,-4.5,-2,-8.52,-1.02
11/14/2007,Houston,90,LA Lakers,93,6.5,5.99,6.63,7.58,5.88,7.5,5.04,9,.,4.41,4,0.58,6.8
11/14/2007,LA Clippers,84,New York,81,8.5,6.43,5.12,8.34,2.1,7,6.36,5.9,.,4.96,8,12.07,6.98
11/14/2007,Miami,95,Seattle,104,5.5,6.62,6.85,8.36,6.25,6,3.58,11.4,.,1.74,6,11.64,7.21
11/14/2007,Milwaukee,102,Memphis,99,6.5,3.59,3.15,3.81,2.3,6.5,5,7.4,.,2.07,2,0.7,4.34
11/14/2007,Minnesota,108,Sacramento,103,2,1.08,1.66,-2.31,3.43,3,3.96,2.7,.,3.17,-1,0.03,2.71
11/14/2007,New orleans,95,Philadelphia,76,8.5,10.67,15.4,14.63,16.22,8.5,6.67,11.2,.,5.96,11,13.15,8.73
11/14/2007,Toronto,88,Utah,92,-1,1.23,1.99,3.15,0.69,1.5,1.06,2.6,.,4.57,-2,-1.21,1.58
11/14/2007,Washington,103,Indiana,90,6,2.74,2.73,1.95,3.6,6,-0.13,8.9,.,-1.91,4,-2.21,4.01
11/15/2007,Dallas,105,San Antonio,92,1.5,0.75,-1.05,-3.51,1.27,2.5,2.43,3.6,.,2.16,-2,5.86,0.94
11/15/2007,Phoenix,112,Chicago,102,8.5,10.72,15.14,13.1,18.13,8,8.19,10.2,.,9.47,11,11.85,4.86
11/16/2007,Atlanta,123,Seattle,126,7.5,7.49,11.64,13.08,10.38,7.5,7.27,6.4,.,8.83,4,10.79,4.53
11/16/2007,Boston,92,Miami,91,10.5,15.46,23.68,24.44,23.32,11,10.53,12.5,.,22.72,14,15.41,8.56
11/16/2007,Cleveland,99,Utah,94,-1,-1.28,-2.38,-0.97,-4.09,-1,-4.07,3.8,.,-8.39,-1,-2.45,0.09
11/16/2007,Golden State,122,LA Clippers,105,5,0.08,-3.02,-5.9,-0.36,4.5,-1.73,5.8,.,-0.93,3,-0.88,1.18
11/16/2007,LA Lakers,103,Detroit,91,3,1.86,6.46,6.24,6.69,3,1.55,0.7,.,1.67,0.01,3.56,1.46
11/16/2007,Memphis,118,New orleans,120,-3.5,-6.03,-9.23,-7.21,-11.71,-3.5,-4.63,-1.4,.,-4.47,-7,-8.18,-3.31
11/16/2007,Minnesota,89,Washington,105,-3.5,-0.36,-0.61,-3.09,1.01,-2.5,3.15,0.3,.,2.87,-3,-4,2.29
11/16/2007,New Jersey,70,Orlando,95,-4,-1.54,-2.14,0.93,-5.47,-3.5,-2.92,1.7,.,-2.67,-2,-4.35,-0.04
11/16/2007,Philadelphia,92,Portland,88,2.5,-0.02,-3.99,-5.39,-2.75,3,4.83,2.6,.,0.54,4,-1.26,-0.09
11/16/2007,Sacramento,123,New York,118,3,1.23,1.82,2.16,1.53,3,0.61,3.5,.,0.12,0.01,-3.03,3.03
11/16/2007,San Antonio,90,Houston,84,9,6.26,3.92,4.89,3.12,8,2.87,8.3,.,6.19,8,10.75,4.72
11/16/2007,Toronto,110,Indiana,101,7.5,9.81,9.06,7.37,10.93,9,5.5,11.9,.,11.84,12,12.76,7.86
11/17/2007,Charlotte,100,Seattle,84,8.5,3.84,5.42,7.17,3.32,7.5,5.03,5.4,.,2.35,3,3.12,3.87
11/17/2007,Dallas,108,Memphis,105,13.5,12.44,12.72,11.85,13.67,12.5,9.95,16.6,.,12.02,11,9.75,13.23
11/17/2007,Denver,115,New York,83,13.5,11.32,12.44,13.74,11.96,12.5,7.96,11.4,.,11.93,11,15.54,9.89
11/17/2007,Houston,105,Phoenix,115,-6,1.83,5.59,5.77,5.44,-5.5,4.44,2.7,.,0.96,-2,-2.54,0.07
11/17/2007,Indiana,117,Utah,97,-5.5,-5.58,-5.16,-3.82,-6.7,-6,-1.45,-4.8,.,-3.77,-11,-8.61,-2.32
11/17/2007,LA Clippers,73,Chicago,92,-2.5,4.55,8.53,8.42,8.88,-1,7.79,1,.,3.79,4,3.39,1.65
11/17/2007,Milwaukee,105,Atlanta,96,8.5,2.71,3.04,5.46,-0.03,8,1.89,6.5,.,0.41,3,-0.18,5.39
11/17/2007,Minnesota,82,New orleans,100,-6,-8.52,-11.37,-14.08,-9.71,-6.5,-4.35,-3.4,.,-6.25,-15,-12.51,-2.3
11/17/2007,New Jersey,87,Miami,91,-3,4.21,7.42,12.88,3.29,2,3.29,3.7,.,6.99,3,-0.26,4.41
11/17/2007,Washington,109,Portland,90,6,1.55,-1.79,-2.56,-1.09,5.5,2.76,6.5,.,0.86,4,2.46,2.44
11/18/2007,LA Lakers,106,Chicago,78,5.5,8.92,17.92,16.85,19.31,4.5,8.28,4.4,.,9.35,6,10.34,7.14
11/18/2007,Orlando,104,Boston,102,0,0.89,-1.4,-2.72,0.56,-1,3.04,2.1,.,0.54,3,-3.14,3.8
11/18/2007,Sacramento,105,Detroit,95,-5,-5.76,-4.31,-4.7,-3.98,-5,-3.72,-4.8,.,-3.39,-9,-12.16,-2.51
11/18/2007,Toronto,100,Golden State,106,6.5,7.97,10.96,11.01,10.91,5.5,7.42,7,.,11.25,2,11.66,5.82
11/19/2007,Charlotte,101,Portland,92,5.5,1.48,-0.33,-0.05,-0.73,5,4.19,4.1,.,-2.4,6,1.73,0.79
11/19/2007,Memphis,125,Seattle,108,6,5.27,7.61,6.99,8.21,5.5,4.21,5.3,.,5.18,5,9.96,4.85
11/19/2007,New orleans,88,Orlando,95,1,4.08,4.98,4.64,5.42,-1,4.14,3.3,.,-0.16,3,7.57,5.66
11/19/2007,Utah,102,New Jersey,75,11,9.67,9.03,8.43,9.66,10,9.91,10.2,.,9.92,10,14.42,7.21
11/20/2007,Atlanta,83,San Antonio,95,-6,-6.99,-7.17,-8.45,-6.5,-6,-1.12,-6.9,.,-2.63,-9,-11,-7.47
11/20/2007,Cleveland,107,Milwaukee,111,6.5,6.89,5.22,4.19,6.29,7.5,1.16,10.5,.,2.51,10,10.4,5.96
11/20/2007,Dallas,105,Toronto,99,8.5,8,9.51,10.3,8.73,9.5,4.91,11,.,2.99,6,11.28,9.65
11/20/2007,Denver,112,Chicago,91,8,11.03,15.64,12.83,19.76,6,10.19,7.1,.,11.86,10,17.11,7.04
11/20/2007,Indiana,114,LA Lakers,134,-2,-3.61,-6.79,-5.84,-7.92,-1.5,-0.17,-2.3,.,-2.94,-8,-0.53,-2.45
11/20/2007,New York,82,Golden State,108,-2,0.44,3.23,1.48,4.66,-1,2.76,2.1,.,1.89,-6,-4.84,0.94
11/20/2007,Sacramento,98,Phoenix,100,-7.5,-6.61,-6.96,-7.99,-6.15,-6.5,-2.6,-6,.,-5.54,-10,-9.81,-4.68
11/20/2007,Washington,116,Philadelphia,101,6.5,4.92,5.74,5.62,5.87,6.5,1.28,9.2,.,2.02,4,8.45,4.46
11/21/2007,Boston,105,Golden State,82,11,11.15,16.71,16.45,17.05,9.5,7.7,10.9,.,14.21,4,8.22,16.24
11/21/2007,Charlotte,111,Washington,114,7,1.81,3.12,3.81,2.43,4.5,3.14,2,.,-0.26,2,-2.64,5.24
11/21/2007,Detroit,98,New York,86,11.5,11.96,10.92,13.21,9.25,11,8.36,14.1,.,8.09,14,17.79,11.31
11/21/2007,Houston,94,Dallas,100,2.5,1.3,2.36,2.53,2.21,2,2.34,2.6,.,-1.15,1,-4.04,5.66
11/21/2007,LA Clippers,101,Denver,90,-6.5,-4.35,-5.78,-3.03,-9.2,-3.5,-0.31,-2.8,.,-5.07,-6,-10.02,-2.44
11/21/2007,Memphis,89,Toronto,95,3.5,0.18,2.41,1.1,3.6,2,-1.28,0.2,.,-6.03,1,3.51,5.46
11/21/2007,Miami,79,Atlanta,82,8,3.27,1.57,-1.45,4.29,7.5,-0.2,9.4,.,-2.88,6,4.75,3.58
11/21/2007,Milwaukee,110,LA Lakers,103,-2.5,-2.99,-3.75,-1.12,-6.45,1,-1.17,0.1,.,-3.79,-8,-5.01,-1.8
11/21/2007,Minnesota,86,Cleveland,97,-5,-4.28,-4.37,-7.03,-2.46,-4.5,2.36,-4.5,.,1.31,-10,-2.58,-4.29
11/21/2007,New orleans,93,Indiana,105,7,12.14,14.22,12.73,15.93,7,8.04,11.5,.,9.22,14,16.08,14.19
11/21/2007,Phoenix,127,Sacramento,111,12.5,12.94,12.62,15.5,10.54,13,8.45,15.8,.,11.54,14,16.94,13.37
11/21/2007,Portland,101,New Jersey,106,3.5,5.93,7.94,6.84,9.56,4.5,4.44,4.4,.,5.57,2,11.31,9.56
11/21/2007,San Antonio,128,Orlando,110,6,4.61,2.82,4.05,1.82,5,3.36,8.6,.,0.99,3,4.37,2.27
11/23/2007,Boston,107,LA Lakers,94,7.5,6.38,7.34,7.14,8.09,7,3.68,9,.,8.53,5,4.14,9.96
11/23/2007,Denver,99,Minnesota,93,14,15.67,14.27,14.55,15.29,14,10.48,16.2,.,14.42,21,24.15,13.61
11/23/2007,Detroit,83,Philadelphia,78,10,9.42,7.28,7.45,7.11,10,6.36,14.9,.,5.79,11,14.19,7.7
11/23/2007,Indiana,111,Dallas,107,-7.5,-5.71,-7.02,-6.18,-8,-7.5,-1.28,-5.8,.,-2.35,-5,-10.64,-5.3
11/23/2007,Miami,98,Houston,91,-3.5,-3.92,-6.17,-9.88,-3.54,-1.5,-3.82,0.9,.,-5.19,0.01,-6.8,-4.93
11/23/2007,Orlando,105,Charlotte,92,9.5,11.46,12.26,12.04,12.54,9.5,7.45,12.9,.,11.87,12,16.13,12.84
11/23/2007,Phoenix,113,LA Clippers,94,14.5,10.87,11.4,11.39,12.39,12,4.39,15,.,7.88,11,17.33,10.31
11/23/2007,Portland,87,Sacramento,84,4.5,3.77,4.96,5.75,4.15,6,3.36,4.9,.,3.31,0.01,4.28,5.02
11/23/2007,San Antonio,101,Memphis,88,13,14.13,14.21,16.98,11.93,12,10.2,17.4,.,10.06,14,18.78,12.68
11/23/2007,Seattle,93,New Jersey,98,-3,0.41,-2.05,-3.92,-0.06,-2.5,2.38,1.8,.,-1.06,1,3.79,0.3
11/23/2007,Utah,99,New orleans,71,6.5,3.48,1.24,1.18,1.26,6,2.85,8.1,.,3.58,4,2.88,2.91
11/23/2007,Washington,115,Golden State,123,-2,4,8.02,6.72,9.43,1.5,3.77,4.1,.,2.92,-2,5.89,6.02
11/24/2007,Charlotte,95,Boston,96,-8.5,-7.47,-10.01,-8.26,-12.57,-6,-2.66,-5.9,.,-9.91,-9,-9.44,-8.49
11/24/2007,Cleveland,111,Toronto,108,.,2.08,1.97,3.04,0.88,.,-1.23,6.7,.,-7.07,3,2.79,3.67
11/24/2007,Houston,109,Denver,81,5,1.44,3.18,5.82,0.12,5,1.9,4.9,.,-0.86,-3,-5.16,4.81
11/24/2007,LA Clippers,89,New orleans,98,-2.5,-0.82,-5.58,-2.69,-9.18,-2,0.48,2.3,.,-0.61,0.01,2.23,-0.24
11/24/2007,Memphis,124,Washington,118,6,0.98,-1.14,-2.35,-0.16,6,1.62,1.8,.,3.9,2,-1.44,3.19
11/24/2007,Milwaukee,97,Dallas,95,-4,-2.3,-3.42,-0.98,-5.59,-3.5,-1.23,-2.9,.,-4.63,-3,1.58,3.13
11/24/2007,Minnesota,87,Atlanta,94,-4.5,-2.5,-3.71,-6.48,-1.75,-3.5,-0.17,1.6,.,-2.25,-4,-1.58,-6.88
11/24/2007,New York,85,Chicago,78,-3,1.2,2.58,-0.84,6.47,-3,3.84,-0.9,.,0.36,-3,4.64,4.44
11/24/2007,Orlando,120,Miami,99,7,12.02,15.65,19,13.36,7.5,9.8,9.3,.,14.82,11,14.09,15.09
11/24/2007,Philadelphia,98,Golden State,100,-3.5,0.22,3.24,2.26,4.33,-2,4.1,-0.9,.,3.65,-5,-3.95,0.52
11/25/2007,Detroit,93,Utah,103,.,0.92,-1.73,1.11,-5.37,.,1.68,5.5,.,0.86,0.01,0.14,-0.12
11/25/2007,Indiana,106,Cleveland,111,2,1.18,-0.01,1.1,-1.4,2,5.25,-0.9,.,7.92,-1,6.22,1.49
11/25/2007,LA Lakers,100,New Jersey,102,7,9.88,11.54,9.51,13.86,6.5,9.67,9.4,.,9.34,12,13.61,9.85
11/25/2007,Seattle,101,San Antonio,116,-10,-10.88,-13.8,-14.39,-13.26,-9,-6.57,-8.3,.,-9.2,-11,-13.53,-12.42
11/25/2007,Toronto,93,Chicago,78,.,9.21,12.09,10.56,13.91,.,8.54,4.5,.,11.11,7,13.24,13.6
