date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegreen,linel2,linebemiss,linefox,linedunk,lineadj,lineavgadj,linegabe
11/5/2006,Philadelphia,107,Miami,98,-2.5,6.69,18.06,17.66,28.81,-2.5,3.9,-3.9,4.3,.,.,.,-0.53,.,.,7.9
11/5/2006,Seattle,117,LA Lakers,101,2,-0.5,-2.04,-4.98,0.24,2.5,-0.77,-1.3,4.3,.,.,.,-0.4,.,.,-9.07
11/5/2006,Toronto,94,San Antonio,103,-6.5,2.32,12.44,14.09,10.97,-5,1.85,-4.7,4.3,.,.,.,-4.41,.,.,-2.41
11/6/2006,Chicago,110,Milwaukee,85,5.5,2.95,-1.67,-0.04,-4.85,6.5,2.8,10.8,1.9,.,.,.,3.75,.,.,-0.68
11/6/2006,Dallas,104,Golden State,107,10,3.83,-2.15,-4.48,-1.42,11,1.33,15.5,-8.3,.,.,.,12.63,.,.,-6.61
11/6/2006,LA Clippers,102,Portland,89,11,6.11,-1.41,-2.99,-0.72,12,1.67,15.3,0.5,.,.,.,12.11,.,.,-2.12
11/6/2006,New York,93,San Antonio,105,-6.5,-2.85,3.46,3.61,3.13,-7,0.8,-7.2,1.7,.,.,.,-11.53,.,.,-11.2
11/6/2006,Orlando,106,Washington,103,3,1.78,2.78,5.03,0.65,3,2.32,2.2,5.6,.,.,.,-4.33,.,.,-0.57
11/6/2006,Sacramento,93,Minnesota,81,5,4,1.47,1.24,1.69,6,-1.2,8.4,-2.2,.,.,.,8.87,.,.,-5.52
11/6/2006,Utah,103,Detroit,101,5,4.29,8.16,11.92,3.75,2,2.9,0.8,18.6,.,.,.,-4.97,.,.,0.15
11/7/2006,Cleveland,95,Atlanta,104,10.5,6.85,2.85,1.9,3.51,9,3.85,14.1,4.2,.,.,.,12.92,.,.,-0.34
11/7/2006,Indiana,97,Philadelphia,86,5,2.65,2.72,0.39,4.03,5.5,0.8,8.7,0.6,.,.,.,-1.63,.,.,-4.55
11/7/2006,LA Lakers,95,Minnesota,88,7.5,6.35,4.21,6.03,2.64,7.5,2.9,8.7,1.4,.,.,.,12.1,.,.,-0.68
11/7/2006,Memphis,80,Houston,86,-3.5,1.31,1.02,-2.59,3.22,-1.5,1.85,1.9,-5.6,.,.,.,0.64,.,.,-10.14
11/7/2006,Miami,90,Seattle,87,6.5,4.71,1.68,0.39,2.8,6.5,0.85,13,1.8,.,.,.,5.85,.,.,-7.49
11/7/2006,New orleans,97,Golden State,93,7,8.24,9.45,9.4,11.92,7,4.43,6.4,20.6,.,.,.,4.63,.,.,3.65
11/8/2006,Boston,110,Charlotte,108,5,3.77,2.69,-0.53,4.63,5,1.8,7.9,3.4,.,.,.,2.08,.,.,-3.74
11/8/2006,Denver,107,New York,109,10.5,6.57,3.81,0.36,7.3,10,1.86,11.4,8.7,.,.,.,6.11,.,.,3.38
11/8/2006,LA Clippers,103,Dallas,85,3.5,5.89,9.51,9.35,9.81,3.5,3.29,3.1,13.3,.,.,.,2.96,.,.,3.37
11/8/2006,Milwaukee,93,Houston,97,2,2.33,0.96,2.39,-0.86,1.5,0.85,-0.7,1.4,.,.,.,8.15,.,.,-7.43
11/8/2006,New Jersey,96,Utah,89,3,0.44,-4.26,-3.51,-5.3,3.5,0.76,9.1,-4.6,.,.,.,-0.93,.,.,-7.19
11/8/2006,Orlando,88,Seattle,87,6.5,5.22,3.31,5.35,1.26,6.5,3.15,5.9,8,.,.,.,8.07,.,.,3.92
11/8/2006,Portland,101,LA Lakers,90,-4.5,-3.41,0.37,1.72,-1.19,-4.5,-1.72,-3.2,0.3,.,.,.,-7.68,.,.,-8.07
11/8/2006,Sacramento,99,Detroit,86,2,3,4.83,6.79,2.83,0,-0.74,1.7,6.2,.,.,.,0.35,.,.,-5.87
11/8/2006,San Antonio,111,Phoenix,106,6,5.18,4.02,5.13,2.94,7,3.95,6.4,6.8,.,.,.,4.73,.,.,-0.86
11/8/2006,Toronto,106,Philadelphia,104,3.5,-0.69,-3.23,-3.87,-3.79,2,-0.71,4.9,-4.6,.,.,.,0.48,.,.,-4.18
11/8/2006,Washington,117,Indiana,91,5,1.14,-2.55,-4.73,-0.82,5,0.92,4.8,0.4,.,.,.,0.91,.,.,-3.37
11/9/2006,Cleveland,113,Chicago,94,4,0.99,0.78,3.8,-6.06,3,0.85,4.3,0.8,.,.,.,1.6,.,.,-8.32
11/9/2006,Golden State,121,New orleans,116,2,-0.92,-2.82,-4.24,-3.76,2.5,-1.78,3.8,-4.7,.,.,.,-2.05,.,.,-8.61
11/9/2006,Phoenix,112,Dallas,119,4.5,7.83,9.58,7.57,12.59,4.5,2.74,5.8,14.3,.,.,.,10.56,.,.,4.08
11/10/2006,Boston,100,Utah,107,-3.5,-2.36,-5.33,-4.09,-7.45,-3,-1.49,1.2,-7,.,.,.,-4.27,.,.,-9.96
11/10/2006,Charlotte,85,Seattle,99,-1,0.21,0.14,1.43,-1.12,2,0.77,1.8,-0.8,.,.,.,-0.95,.,.,-6.54
11/10/2006,Houston,103,New York,94,10,9.58,9.23,8.24,10.43,11,3.92,13.4,14,.,.,.,8.42,.,.,3.68
11/10/2006,Indiana,93,Orlando,83,4.5,4.67,6.1,5.18,7.04,5,1.56,7.6,5.6,.,.,.,3.3,.,.,-3.81
11/10/2006,LA Lakers,83,Detroit,97,4.5,4.65,6.52,7.42,5.7,3,3.45,1.4,6.8,.,.,.,4.48,.,.,-3.09
11/10/2006,New Jersey,106,Miami,113,5,5.12,6.82,6.35,7.32,4.5,5.1,4.7,9.6,.,.,.,2.56,.,.,5.22
11/10/2006,Philadelphia,101,Denver,108,2.5,7.47,11.69,13.45,10.57,2.5,4.87,1.9,14.5,.,.,.,5.52,.,.,1.97
11/10/2006,Portland,92,New orleans,91,-2.5,-0.2,0.33,0.61,-0.35,-3,-0.58,1.1,0,.,.,.,0.73,.,.,-7.19
11/10/2006,Toronto,102,Atlanta,111,4.5,1.69,0.69,0.92,0.4,4,1.43,5.2,-3.3,.,.,.,3.57,.,.,-5.36
11/10/2006,Washington,116,Milwaukee,111,6,6.77,5.85,3.62,8.49,6,2.6,8.5,8.9,.,.,.,8.41,.,.,2.04
11/11/2006,Atlanta,112,Seattle,113,3,4.97,8.45,9.24,7.77,3.5,2.3,4.4,8.5,.,.,.,1.82,.,.,-1
11/11/2006,Chicago,89,Indiana,80,6.5,3.77,2.17,1.54,2.83,6,2.5,8.5,3.8,.,.,.,1.28,.,.,-2.01
11/11/2006,Cleveland,94,Boston,93,10,9.08,9.07,9.61,8.55,9.5,4.99,12.9,12.8,.,.,.,10.6,.,.,3.02
11/11/2006,Golden State,111,Detroit,79,3.5,-0.69,3.15,5.75,0.44,3.5,-0.42,-3.5,0.3,.,.,.,-4.54,.,.,-6.35
11/11/2006,Milwaukee,111,Utah,113,0,0.86,-1.27,-0.63,-1.99,0,-0.37,2,0.2,.,.,.,0.87,.,.,-7.55
11/11/2006,Minnesota,98,Orlando,109,4.5,3.48,5.5,4.65,6.44,3,1.82,4.9,5.1,.,.,.,3.24,.,.,-3.91
11/11/2006,Phoenix,96,Memphis,87,10,5.4,3.95,5.47,3.58,10,0.5,10.3,3.6,.,.,.,12.14,.,.,-3.75
11/11/2006,San Antonio,100,New York,92,13.5,10.11,6.11,7.57,4.8,13.5,4.19,16.6,9.3,.,.,.,11.22,.,.,2.64
11/12/2006,Charlotte,101,Denver,108,-4.5,-0.93,-1.23,1.22,-3.14,-5,0.7,-2.5,-2.7,.,.,.,-0.31,.,.,-7.97
11/12/2006,LA Clippers,92,New orleans,76,5.5,4.77,1.93,0.04,3.02,6.5,0.47,10.9,-0.8,.,.,.,9.11,.,.,-2.89
11/12/2006,LA Lakers,91,Memphis,81,8.5,6.41,8.52,10.94,7.29,8.5,3.91,5.2,8.2,.,.,.,7.15,.,.,-2.52
11/12/2006,Miami,72,Houston,94,2.5,1.95,0.71,2.18,-0.95,4,-1.16,6.7,-1.4,.,.,.,-1.47,.,.,-8.27
11/12/2006,Portland,96,Dallas,103,-6,0.79,7.59,9.24,7.82,-6.5,3.19,-6.5,8.1,.,.,.,-2.11,.,.,2.61
11/12/2006,Sacramento,107,Toronto,92,7.5,7.97,7.85,5.84,10.76,7.5,1.33,10.4,6.7,.,.,.,10.82,.,.,-1.07
11/12/2006,Washington,93,New Jersey,105,6,4.15,3.97,3.32,4.65,4.5,1.69,2.4,7.2,.,.,.,4.54,.,.,0.44
11/13/2006,Boston,89,Orlando,92,-1.5,-1.33,-2.97,-5.39,-1.13,-1.5,-0.56,3,-4,.,.,.,-3.88,.,.,-7.45
11/13/2006,New Jersey,113,Seattle,119,3.5,4.92,5.61,6.27,4.93,4.5,3.22,11.2,3,.,.,.,0.67,.,.,-4.64
11/13/2006,New York,96,Cleveland,102,-5.5,-1.79,2,0.93,3.09,-5.5,-1,-3.3,-1.7,.,.,.,-5.31,.,.,-7.94
11/14/2006,Atlanta,101,Milwaukee,103,1,5.11,8.01,7.7,8.38,2.5,2.35,4.4,6.8,.,.,.,5.67,.,.,1.15
11/14/2006,Dallas,111,Chicago,99,4,0.44,-0.44,4.5,-8.31,5.5,-1.44,6.3,-0.2,.,.,.,-3.71,.,.,-11.93
11/14/2006,Golden State,110,Toronto,99,6,6.73,9.49,9.36,10.62,6.5,2.17,6.5,7.1,.,.,.,8.09,.,.,-0.11
11/14/2006,Houston,84,San Antonio,92,0,1.71,5.3,4.03,6.45,-1.5,2.36,2.8,4.9,.,.,.,-3.44,.,.,-2.61
11/14/2006,Miami,105,Denver,112,4.5,3,2.66,8.14,-4.04,5,0.27,8.5,0.5,.,.,.,-0.56,.,.,-6.74
11/14/2006,Minnesota,101,Portland,89,8,5.6,2.31,-0.49,5.07,7.5,2.72,8,2.1,.,.,.,10.49,.,.,-4.37
11/14/2006,New orleans,94,Charlotte,85,7.5,9.48,15.43,17.59,13.73,8.5,5.24,9.6,12.4,.,.,.,6.82,.,.,3.05
11/14/2006,Utah,112,LA Clippers,90,0,2.58,4.49,5.09,3.99,-1.5,3.01,2.3,3.3,.,.,.,1.53,.,.,-2.18
11/15/2006,Boston,114,Indiana,88,-2,-1.42,-4.16,-5.1,-3.65,-2,-0.35,0.7,-2.5,.,.,.,-2.52,.,.,-6.07
11/15/2006,Cleveland,100,Portland,87,11.5,9.44,4.46,3.05,5.94,11.5,4.5,15.2,4.5,.,.,.,16.45,.,.,-1.07
11/15/2006,Detroit,99,New orleans,100,7.5,6.21,2,-0.74,4.42,7.5,0.92,11.4,0.8,.,.,.,14.21,.,.,-6.49
11/15/2006,New Jersey,100,Milwaukee,87,6.5,4.9,3.54,3.28,3.8,6.5,3.08,10.6,2.2,.,.,.,6.4,.,.,-1.31
11/15/2006,New York,102,Washington,82,-3.5,-1.97,0.97,2.09,-0.16,-4,-0.06,0,-1.7,.,.,.,-6.54,.,.,-9.02
11/15/2006,Orlando,108,Denver,99,4,2.49,3.51,5.69,1.26,2.5,3.19,2.3,2.1,.,.,.,-1.83,.,.,-1.36
11/15/2006,Sacramento,115,Memphis,111,8.5,8.22,12.86,15.3,12.99,8,1.74,7.1,9.9,.,.,.,7.76,.,.,1.02
11/15/2006,San Antonio,92,Charlotte,95,11.5,14.92,19.21,20.04,18.55,11.5,5.77,19.2,14.5,.,.,.,13.18,.,.,3.24
11/15/2006,Seattle,90,Philadelphia,96,4,4.97,6.44,5.05,8.03,3.5,0.38,7.4,4.6,.,.,.,4.3,.,.,-2.27
11/16/2006,Golden State,117,Sacramento,105,5,1.25,4.3,5.24,3.58,3.5,1.98,1.1,3.3,.,.,0.01,-1.82,.,.,-2.94
11/16/2006,Houston,101,Chicago,100,4.5,4.36,7.71,6.91,8.84,5.5,2.14,5.1,5.9,.,.,4,3.46,.,.,-2.36
11/17/2006,Boston,118,Portland,90,7.5,6.25,-0.81,-3.64,2.71,7,2.11,8.2,1.9,.,9.35,10,9.92,.,.,-2.04
11/17/2006,Cleveland,92,Minnesota,76,6.5,8.19,6.81,6.16,7.5,8.5,3.28,11.9,5,.,10.35,8,13.07,.,.,-0.44
11/17/2006,Detroit,100,Washington,91,4.5,3.88,3.59,4.11,3.14,5.5,2.38,8.7,4.4,.,6.5,1,1.4,.,.,-3.98
11/17/2006,Indiana,91,New Jersey,100,5,-0.11,1.03,2.61,-0.66,4,0.5,1.1,1.1,.,-4.1,-1,-2.56,.,.,-5.75
11/17/2006,LA Lakers,107,Toronto,100,8,8.88,8.56,7.34,10.14,8,5.19,9,5.8,.,11.9,9,12.18,.,.,-0.32
11/17/2006,Memphis,103,Dallas,115,-5,-0.77,-1.37,-6.32,2.82,-5.5,2.25,-0.8,-1.7,.,0.8,-2,-4.26,.,.,-3.68
11/17/2006,Miami,76,New York,100,9,4.59,1.85,3.98,-0.91,9,0.4,12.3,1.9,.,-1.65,6,4.17,.,.,-5.89
11/17/2006,Phoenix,106,Philadelphia,94,7.5,4.25,1.89,-0.18,3.79,7,-0.99,12.5,0.2,.,-0.85,7,7.85,.,.,-5.2
11/17/2006,San Antonio,100,Chicago,83,8,5.6,6.16,8.28,3.82,7.5,1.97,7.2,4.9,.,5.6,7,4.68,.,.,-2.64
11/17/2006,Seattle,109,Utah,118,4,-1.36,-3.84,-5.39,-1.93,2,-0.68,1.9,-2.2,.,-8.95,2,-2.72,.,.,-5.29
11/18/2006,Atlanta,88,Miami,93,2.5,5.42,10.57,7.42,16.53,3.5,4.92,-0.7,10.3,.,.,4,5.16,.,.,3.98
11/18/2006,Dallas,89,Memphis,84,10,8.37,9.53,13.98,7.07,10,2.17,11.4,8.3,.,.,10,9.73,.,.,-2.32
11/18/2006,Denver,117,Toronto,109,10,6.38,6.7,5.44,7.92,10,2.66,10.4,6.6,.,.,6,6.4,.,.,0.33
11/18/2006,Detroit,104,Houston,92,-1,2.29,-1.35,-1.78,-0.96,1.5,0.92,4.5,0.1,.,.,0.01,6.88,.,.,-6.63
11/18/2006,Golden State,107,Seattle,95,6.5,4.2,7.7,9.71,5.89,6,1.96,5,5.1,.,.,1,3.92,.,.,-2.28
11/18/2006,LA Clippers,103,Philadelphia,97,9.5,6.66,9.15,9.59,9.04,9.5,0.84,10.8,5.9,.,.,5,5.06,.,.,-2.21
11/18/2006,Milwaukee,100,Indiana,102,3.5,3.79,4.36,3.09,6.33,3,1.52,3.6,3.4,.,.,4,5.44,.,.,-3.46
11/18/2006,Minnesota,96,New orleans,99,2.5,0.72,-3.29,-3.68,-3.38,2.5,0.48,3.6,-2.2,.,.,1,4.89,.,.,-4.83
11/18/2006,New Jersey,68,Portland,86,9.5,11.09,6.95,3.77,11.54,0,5.37,15.8,6.8,.,.,14,14.72,.,.,0.16
11/18/2006,New York,118,Boston,122,1.5,2.5,4.96,5.31,4.83,2,2,4.6,2.7,.,.,2,2.93,.,.,-3.88
11/18/2006,Orlando,97,Charlotte,83,7,8.55,9.22,10.87,7.74,8.5,5.08,10,7.6,.,.,8,11.35,.,.,2.27
11/18/2006,Utah,120,Phoenix,117,5,6.06,12.21,13.81,10.79,4,5.24,2.1,9.1,.,.,4,6.48,.,.,1.92
11/18/2006,Washington,111,Cleveland,99,3.5,-0.87,-2.79,-4.33,-1.44,3,-0.81,0.8,-1.9,.,.,0.01,-4.77,.,.,-5.34
11/19/2006,LA Lakers,82,Chicago,72,3,2.98,4.95,6.39,3.59,3,3.16,1.1,2.8,.,.,4,-1.08,.,.,-3.42
11/19/2006,Sacramento,99,San Antonio,108,-2.5,-1.12,-1.73,-0.55,-3.4,-2.5,-0.91,-0.2,-1.8,.,.,-3,0.1,.,.,-4.91
11/20/2006,Charlotte,85,Dallas,93,-4,-3.85,-3.56,-4.79,-2.43,-5,0.02,-6.6,-3.8,.,-1.4,-5,-5.01,-2.7,-5.2,-6.45
11/20/2006,Golden State,110,Phoenix,113,-3.5,3.35,7.54,9.02,6,2,2.78,-1.8,4.5,.,6.95,0.01,5.58,-1.2,8.49,-0.53
11/20/2006,Memphis,95,Orlando,86,-3,-1.06,-3.35,-7.23,-1.83,-3,-0.81,5.4,-3.1,.,-11.2,-1,3.5,-3.25,-3.99,-8.48
11/20/2006,New York,90,Houston,97,-4.5,-1,-2.36,-2.3,-2.68,-5.5,0.04,-2,-1.9,.,-1.2,3,0.13,-5.35,-4.25,-5.95
11/20/2006,Portland,98,San Antonio,107,-6,-7.11,-4.13,-0.57,-9.34,-7,-1.55,-7.4,-3.9,.,-7.3,-9,-9.79,-6.28,-10.33,-8.37
11/20/2006,Seattle,99,New Jersey,87,3,1.14,2.39,2.33,2.46,2.5,0.19,-0.4,2.9,.,-0.5,4,-2.13,-4.67,-4.01,-3.12
11/20/2006,Utah,101,Toronto,96,9,12.83,16.62,17.86,15.66,9,6.32,11,13.2,.,22.45,12,13.86,14.9,18.18,4.19
11/21/2006,Cleveland,97,Memphis,94,10.5,8.16,8.08,10.92,6.42,10,6.24,9,6.4,8.81,14.6,5,6.05,9.33,8.76,2.73
11/21/2006,Dallas,107,Washington,80,5.5,5.61,5.69,8.38,3.26,6,-2.1,10.5,5.2,3.98,6.55,8,6.75,6.31,8.06,-3.81
11/21/2006,Denver,113,Chicago,109,3,4.03,6.02,3.96,8.1,3.5,4.13,2.6,3.5,6.85,4.25,1,1.86,3.58,7.69,-2.41
11/21/2006,Indiana,93,Milwaukee,88,4.5,4.2,3.63,5.37,1.48,4.5,4.27,7,2.6,2.96,5.9,2,6.26,4.6,4.69,-2.26
11/21/2006,LA Lakers,105,LA Clippers,101,-1.5,0.07,-0.87,-1.87,-0.51,-1,0.09,2,-0.9,-2.06,3.9,3,-3.01,4.13,1.71,-4.37
11/21/2006,New orleans,101,Miami,86,5,7.19,12.08,12.11,14.53,5,3.14,1,10.1,11.96,13,1,-2.15,4,3.09,4.47
11/21/2006,Philadelphia,87,Detroit,97,-3,-0.01,-0.99,0.42,-2.86,-1,2.25,-1.1,-0.4,1.66,0.25,2,-2.28,-0.88,0.17,-3.93
11/22/2006,Charlotte,92,Boston,83,1,-2,-1.33,-0.85,-1.89,1,-0.26,1,-2.1,-3.48,-5.05,-2,-3.39,-3.1,-6.75,-8.12
11/22/2006,Detroit,103,Atlanta,98,6.5,6.5,8.16,8.2,8.56,8,1.51,12.2,5.8,5.87,1.35,6,9.03,1.58,2.81,-3.28
11/22/2006,Golden State,112,Denver,115,2.5,5.03,8.28,8.79,7.81,2,0.83,1.9,5.6,7.34,3.45,5,4.54,2.59,6.26,-1
11/22/2006,Houston,86,Washington,82,7,8.21,8.6,9.1,8.13,7.5,3.79,9.2,7.3,11.51,12.1,7,5.76,14.26,15.18,-1.19
11/22/2006,LA Clippers,85,Seattle,95,6,6.01,7.41,9.53,5.69,6,1.3,9.9,5.9,6.77,8.45,3,3.53,5.85,6.22,-0.52
11/22/2006,Milwaukee,98,Philadelphia,94,8,1.44,1.65,1.25,2,8,-1.61,5.2,1.1,0.81,-1.05,2,3.24,6.69,0.87,-5.35
11/22/2006,Minnesota,107,New York,89,5.5,2.15,3.58,4.79,2.37,5.5,3.66,4.9,2.7,1.35,1.2,-2,0.37,-0.27,-1.66,-3.73
11/22/2006,Orlando,96,Indiana,91,6.5,6.64,4.62,3.97,5.39,5.5,3.56,4.5,4.2,7.41,13.35,8,9.36,10.25,11.59,0.82
11/22/2006,Phoenix,92,New orleans,83,9,3.51,2.02,-0.55,4.37,9,0.13,11,1.6,4.15,-3.5,8,6.38,6.26,-0.15,-4.65
11/22/2006,Portland,100,New Jersey,97,-4,-0.05,3.84,5.6,1.29,-3.5,-3.09,-3.4,2.7,2.85,-2.05,-1,-3.39,-4.56,-0.17,-5.14
11/22/2006,Sacramento,101,Utah,110,4,-3.76,-6.11,-6.87,-5.65,3.5,-3.4,4,-4.2,-5.83,-8.4,0.01,-3.55,2.95,-4.52,-7.08
11/22/2006,San Antonio,106,Miami,86,10,12.13,14.89,12.82,19.06,10.5,6.45,9.6,13.1,16.36,16.05,11,4.75,7.8,8.21,5.76
11/22/2006,Toronto,95,Cleveland,87,-2.5,-2.95,-2.41,-4.23,-0.94,-3.5,-2.61,-2.4,-2.5,-2.13,-10.65,-2,0.93,-1.94,-2.85,-8.45
11/25/2006,Charlotte,93,Miami,102,3,2.4,3.41,1.98,6.17,3,-1.17,-2.1,3.3,5.5,7.55,4,-3.65,3.53,1,.
11/25/2006,Cleveland,108,Philadelphia,95,7,5.67,4.28,4.84,3.72,7,2.76,9.7,2.3,5.99,10.3,3,8.46,4.96,5.66,.
11/25/2006,Dallas,85,New orleans,73,10,5.9,5.71,4.38,7.18,8.5,-0.71,13.2,4.1,3.2,3.25,13,5.51,9.13,6.56,.
11/25/2006,Golden State,91,Utah,78,-1,-3.18,-2,-5.52,-0.08,2.5,-3.33,0.3,-2.1,-1.72,-9.15,-3,-4.03,-2.53,-2.28,.
11/25/2006,Houston,85,Memphis,76,10,8.07,8.95,11.82,6.85,10,5.89,8.7,6.5,10.35,13.35,5,4.14,10.5,9.2,.
11/25/2006,Milwaukee,98,Boston,111,4,2.22,4.85,4.66,5.09,4.5,2.68,5.8,3.3,-0.06,-6.25,2,2.75,2.48,1.6,.
11/25/2006,Minnesota,104,LA Clippers,96,-3,0.07,1.16,0.44,1.7,-4.5,0.3,0.5,0.6,-0.16,0.25,1,-4.04,2.25,3.82,.
11/25/2006,New York,95,Chicago,106,-2,2.85,3.55,3.75,3.37,-3,1.19,-0.5,1.9,3.55,2.8,5,4.6,1.62,6.53,.
11/25/2006,Orlando,98,Atlanta,79,7,5.23,5.02,6.93,3.22,7,2.4,7.7,2.8,3.6,8.65,6,5.74,4.5,4.61,.
11/25/2006,Sacramento,105,Portland,85,7,7.35,5.6,4.08,7.78,8,3.57,11.3,4.8,5.83,5.35,9,14.41,6.55,8.25,.
