date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linegametime,lineray1,linefox,linedunk,linegirl,linedok
11/7/2008,LA Clippers,83,Houston,92,-5.5,-7.14,-3.6,-2.23,-5.75,-6.5,-2.15,-5.6,-6,-13.77,-15,-13.04,-8.21,-6.56
11/7/2008,New Jersey,103,Detroit,96,-7.5,-5.74,-5.46,-6.12,-5,-6.5,0.83,-6.7,-5.5,-11.34,-11,-4.9,-7.16,-3.35
11/7/2008,Sacramento,121,Minnesota,109,3.5,3.38,4.65,5.66,2.86,3.5,0.94,4.1,0.01,-2.07,3,4.8,10.43,0.07
11/7/2008,San Antonio,83,Miami,99,6.5,4.23,1.91,3.47,0.56,6.5,-0.05,9.2,1,-6.81,12,8.7,-0.93,7.59
11/7/2008,Utah,104,Oklahoma City,97,11.5,13.94,11.52,11.93,11.2,12,7.15,17.4,14,16.24,20,20.08,10.83,10.55
11/7/2008,Washington,108,New York,114,5.5,6.47,4.33,1.72,6.41,5,2.43,7.9,5,11.26,6,9,10.36,7.69
11/10/2008,Boston,94,Toronto,87,8.5,8.06,7.53,7.17,7.87,8.5,5.57,10.9,9,5.34,10,12.03,12.21,10.04
11/10/2008,Indiana,107,Oklahoma City,99,11.5,11.04,11.66,11.22,12.25,10,6.58,9.6,8.5,14.68,13,16.06,10.39,8.13
11/10/2008,Miami,99,New Jersey,94,9,8.34,8.59,5.46,12.24,8.5,6.07,10.3,10,11.95,6,9.85,13.93,3.58
11/10/2008,Orlando,99,Portland,106,7,7.21,7.25,5.17,9.52,7,7.05,5.8,6,8.96,8,6.2,11.8,3.97
11/10/2008,Phoenix,107,Memphis,102,11.5,11.4,9.17,9.9,8.56,12,8.1,13.9,10.5,14.31,15,16.59,7.4,6.99
11/11/2008,Charlotte,80,Denver,88,-2.5,0.29,3.36,5.15,1.53,-3,0.61,2,0.01,-1.4,-3,0.33,3.42,-1.27
11/11/2008,Chicago,108,Atlanta,113,4.5,-0.83,-6.9,-8.08,-5.85,2.5,0.57,3,1.5,-5.28,-1,-0.64,-7.14,0.6
11/11/2008,Cleveland,99,Milwaukee,93,12,12.18,13.12,11.56,14.79,11.5,6.46,15.3,10,13.83,16,16.43,8.99,5.93
11/11/2008,Dallas,99,LA Lakers,106,-6,-5,-11.8,-10.61,-15.05,-5,-1.07,-3.1,-4.5,-7.54,-8,-4.69,-4.51,-6.28
11/11/2008,Golden State,113,Minnesota,110,6,8.95,12.29,12.54,12.31,6,2.99,7.8,5,9.84,8,6.7,13.78,7.1
11/11/2008,Philadelphia,80,Utah,93,3.5,-0.54,2.24,-1.06,5.56,3.5,1.85,2.5,1,-1.38,-3,0.23,-10.06,2.48
11/11/2008,Sacramento,92,Detroit,100,-7.5,-6.25,-6.52,-7.37,-6.06,-7,-3.58,-5.9,-4.5,-16.81,-5,-6.31,-6.98,0.17
11/11/2008,San Antonio,92,New York,80,4.5,3.94,-3.08,-5.77,-0.35,4,2.38,12,5,9.02,11,1.18,-5.07,-1.19
11/12/2008,Boston,103,Atlanta,102,10.5,5.35,1.32,0.49,1.78,9.5,3.99,10.3,9,1.37,10,7.54,1.87,7.53
11/12/2008,LA Clippers,98,Sacramento,103,7.5,3.19,3.66,4.21,2.77,6,3.43,6.6,4,1.47,-3,3.76,4.23,1.84
11/12/2008,Memphis,103,New York,132,4.5,4.09,6.73,5.11,8.74,4,2.42,4.4,2.5,5.28,5,6.65,2,1.9
11/12/2008,Miami,96,Portland,104,2,3.9,3.25,-0.87,7.24,1,8.49,3.7,6,7.15,0.01,2.78,-1.69,3.14
11/12/2008,Milwaukee,82,San Antonio,78,2.5,1.93,8.85,9.73,8.03,2,4.49,-2.1,2.5,6.26,-4,-1.25,3.56,5.65
11/12/2008,New Jersey,87,Indiana,98,-1.5,-1.48,-4.19,-2.37,-6.22,-3,0.4,2.6,-0.5,-9.14,-5,-3.99,-3.25,2.12
11/12/2008,New orleans,86,LA Lakers,93,1.5,0.75,-0.9,0.43,-3.62,0,2.9,1.2,-1,-6.73,-2,2.92,5.75,3.54
11/12/2008,Oklahoma City,92,Orlando,109,-7,-3.3,-1.07,-0.79,-1.51,-6.5,-2.15,-3.2,-2,-5.23,-8,-2.22,-8.28,0.35
11/12/2008,Phoenix,82,Houston,94,3,5.28,5.85,6.64,5.14,4.5,3.57,3.3,5,8.68,5,7.33,2,5.77
11/12/2008,Toronto,96,Philadelphia,106,5.5,7.02,10.11,12.92,7.57,4.5,2.1,6,7,5.42,7,8.05,7.86,6.26
11/12/2008,Washington,95,Utah,87,-4.5,-7.51,-12.03,-12.09,-11.98,-2,-3.24,-3.9,-4.5,-7.92,-11,-8.74,-10.65,-4.61
11/13/2008,Chicago,98,Dallas,91,-2,5.44,8.44,8.4,8.66,-1,4.81,3.4,3.5,8.19,2,3.61,11.4,3.55
11/13/2008,Cleveland,110,Denver,99,7,8.75,10.33,9.42,11.42,5,6.09,10.2,8.5,10.06,7,10.15,7.47,9.67
11/13/2008,Golden State,102,Detroit,107,-4.5,-2.11,-6.18,-6.71,-5.79,-4.5,-2.63,-3,-1.5,-3.55,-4,-1.65,6.03,1.04
11/14/2008,Boston,85,Denver,94,10,9.75,12.55,14.25,11.37,9.5,7.54,12.2,11,9.63,9,11.2,12.58,11.53
11/14/2008,Charlotte,104,Utah,96,-4,-2.49,-2.87,-2.13,-3.64,-6.5,-3.79,-3.2,-4.5,0.29,-5,-3.95,2.56,1.45
11/14/2008,Dallas,100,Orlando,102,1.5,-0.24,-2.75,-2.44,-3.36,2,-1,4.5,1.5,-5.43,-2,4.42,-8.28,0.78
11/14/2008,Indiana,92,Philadelphia,94,1,3.74,6.51,7.29,5.82,0,2.56,1.6,4.5,12.33,6,-1.12,-2.06,3.58
11/14/2008,LA Lakers,95,Detroit,106,9.5,10.44,11.49,9.84,12.98,9,2.79,9.7,10,16.09,9,13.43,24.77,11.68
11/14/2008,Memphis,96,Milwaukee,101,4.5,0.26,-1.06,0.24,-2.56,5,0.88,3.2,-0.5,-2.35,0.01,0.32,-0.01,0.23
11/14/2008,Miami,97,Washington,77,6.5,7.08,9.76,7.69,11.87,7,7.34,8,9,14.81,5,4.88,-3.56,6.86
11/14/2008,New Jersey,115,Atlanta,108,-3.5,-4.69,-13.55,-12.54,-14.77,-2,-1.98,-3,-4.5,-11.3,-6,-4.83,3.5,-5.24
11/14/2008,New York,116,Oklahoma City,106,8.5,7.2,7.64,9.86,5.66,8,5.02,8.9,7.5,6.14,9,9.87,3.95,6.1
11/14/2008,New orleans,87,Portland,82,7,6.27,6.12,2.82,9.25,8,8.41,8,6,4.17,7,4.79,5.94,5.64
11/14/2008,Sacramento,95,Phoenix,97,-3.5,-2.91,-7.01,-6.27,-8.27,-7,-3.61,-3.2,-4,-1.62,-6,-4.21,10.51,0.4
11/14/2008,San Antonio,77,Houston,75,-6,-1.85,-7.44,-8.87,-6.14,-5,-3.03,1.3,-1,-0.49,-1,-7.54,-2.29,0.02
11/15/2008,Atlanta,107,New Jersey,119,10,9.4,12.76,11.42,14.24,8.5,7.29,12,11.5,16.99,10,12.83,3.49,6.75
11/15/2008,Chicago,104,Indiana,91,6.5,5.09,0.96,1.69,0.04,6,1.82,6.5,3.5,0.65,0.01,8.06,13.14,7.34
11/15/2008,Cleveland,105,Utah,93,11,8.77,8.72,8.36,9.15,8,3.4,6.6,5.5,14.64,6,12.62,15.35,9.96
11/15/2008,Houston,91,New orleans,82,2.5,2.82,-1.83,-1.7,-1.98,3,2.79,5.9,5,-1.61,3,-0.18,6.73,6.88
11/15/2008,LA Clippers,103,Golden State,121,2,0.43,-2.22,-2.07,-2.39,3,1.26,3,0.5,2.95,-4,4.79,2.89,-2.94
11/15/2008,Milwaukee,97,Boston,102,-8.5,-4.61,-5.26,-5.65,-5.09,-9.5,-2.14,-5.2,-4,-6.37,-7,-6.65,-12.55,3.37
11/15/2008,Minnesota,83,Portland,88,-1.5,-4.34,-9.17,-12.79,-6.46,-1,3.5,-2.9,-2.5,-8.85,-6,-5.05,-8.22,1.84
11/15/2008,Philadelphia,110,Oklahoma City,85,10,8.87,11.45,11.69,11.49,12,8.97,14.2,11,3.02,12,8.35,1.24,6.74
11/16/2008,Charlotte,85,Orlando,90,-6.5,-2.66,0,1.85,-1.93,-6.5,-1.99,0,-1.5,-8.82,-4,-1.74,-8.57,-1.22
11/16/2008,Denver,90,Minnesota,84,9.5,12.89,14.55,16.62,13.25,9,5.29,11.9,11,14.46,15,12.99,17.39,10.89
11/16/2008,New York,114,Dallas,124,-1.5,3.66,6.44,9.92,3.56,-3,3.39,0.9,2,5.21,1,2.89,11.56,5.7
11/16/2008,Phoenix,104,Detroit,86,2,1.63,-0.3,-0.64,-0.21,2,1.74,1.6,1.5,3.38,2,2.97,-0.7,4.04
11/16/2008,Sacramento,88,San Antonio,90,2.5,0.56,0.9,1.52,0.12,1.5,2.12,-2.8,0.01,4.9,-2,2.66,10.12,-1.74
11/16/2008,Toronto,107,Miami,96,4.5,3.3,2.86,5.39,0.17,5.5,0.68,6.1,3,-1.11,7,0.61,5.43,5
11/17/2008,LA Clippers,83,San Antonio,86,2.5,-3.07,-4.62,-4.82,-4.47,1.5,1.58,-3.4,-2,1.36,-9,-4.56,1.53,-4.03
11/17/2008,Oklahoma City,89,Houston,100,-8.5,-6.09,-8.96,-9.7,-8.29,-8.5,-4.65,-8.7,-8,1.68,-12,-6.14,-1.75,-3.36
11/17/2008,Utah,109,Phoenix,97,1,2.23,-1.52,-2.58,-0.56,-1,2.3,5.6,4.5,0.29,0.01,3.49,5.14,5.15
11/18/2008,Boston,110,New York,101,8,11.23,11.7,12.08,11.7,11,8.91,15.3,12.5,12.86,13,12.96,12.34,8.94
11/18/2008,Charlotte,83,Dallas,100,-5,-0.04,2.82,4.48,1.3,-5.5,1.62,0.4,0.5,-1.4,0.01,1.6,-0.97,-1.01
11/18/2008,Denver,114,Milwaukee,105,10,7.21,4.73,4.7,4.77,8.5,4.53,9.9,8,7.48,10,10.08,3.28,5.08
11/18/2008,Golden State,111,Portland,106,-2,0.74,-3.09,-5.4,-1.02,1,3.82,0.5,0.5,-0.44,0.01,-2.52,3.25,0.37
11/18/2008,Indiana,113,Atlanta,96,3,1.8,-0.74,-1.77,0.41,2,1.47,1.9,1,2.07,3,5.64,2.04,1.02
11/18/2008,LA Lakers,116,Chicago,109,13,9.63,9.1,9.03,9.49,12.5,5.64,14,13,11.68,12,14.32,8.39,12.13
11/18/2008,Memphis,109,Sacramento,94,5.5,2.02,4.61,4.83,4.36,5.5,3.15,4.1,2,0.33,0.01,1.07,-1.58,3.44
11/18/2008,New Jersey,82,Cleveland,106,-5.5,-4.23,-6.4,-4.71,-8.25,-6,-1.57,-4.5,-4.5,-5.89,-6,-3.25,-4.85,-0.7
11/18/2008,Orlando,103,Toronto,90,6,4.68,2.39,1.38,3.44,6.5,4.22,5.8,4,6.01,6,6.57,7.48,4.76
11/18/2008,Washington,87,Miami,94,2.5,-1.44,-5,-2.6,-7.71,1.5,-1.84,1.5,-1.5,-3.56,-1,-2.94,6.38,-2.59
11/19/2008,Atlanta,91,Washington,87,7.5,9.53,14.53,14.38,14.7,9,7.52,9.6,10.5,12.73,9,6.08,8.36,11.49
11/19/2008,Detroit,96,Cleveland,89,2.5,1.77,-1.87,0.69,-4.21,4,2.32,4.7,2,-1.26,0.01,6.24,0.6,4.79
11/19/2008,Houston,86,Dallas,96,3,6.73,6.83,8.5,5.22,5,7.27,9.4,8,3.98,7,7.21,8.18,8.53
11/19/2008,Miami,95,Toronto,101,3,2.7,2.14,0.28,4.01,3.5,4.98,4.3,4.5,2.78,0.01,4.93,-2.35,4.23
11/19/2008,Minnesota,102,Philadelphia,96,-3.5,-4.62,-7.72,-8.56,-7.95,-2.5,-1.68,-2.8,-3.5,-4.62,-5,-7.18,-6.27,-1.95
11/19/2008,New orleans,96,Sacramento,105,13.5,11.82,13.88,12.98,14.87,14,9.84,15.8,13,10.91,13,9.87,13.78,10.07
11/19/2008,Oklahoma City,88,LA Clippers,108,-1,3.28,4.48,3.6,5.22,1,2.5,3.4,2,3.89,4,-0.9,2.88,6.22
11/19/2008,Portland,116,Chicago,74,7,2.09,0.64,3.28,-2.09,5.5,0.18,7.3,5.5,-0.11,5,1.85,2.16,5.74
11/19/2008,San Antonio,81,Denver,91,1,0.82,-3.18,-2.85,-3.65,-1,-0.15,6.2,0.5,-1.78,1,-3.39,1.74,2.32
11/19/2008,Utah,105,Milwaukee,94,10,8.55,5.11,4.7,5.52,9.5,7.43,12.7,10.5,4.38,11,9.55,8.8,6.74
11/20/2008,Boston,98,Detroit,80,6.5,3.45,3.71,3.88,3.7,7,3.4,5.4,6,5.58,3,4.24,2.98,6.71
11/20/2008,Phoenix,92,LA Lakers,105,-5,-1.14,-3.52,-1.89,-5.66,-3.5,2.59,-0.7,-1,-5.19,0.01,-5.53,-1.66,-4.23
11/21/2008,Atlanta,88,Charlotte,83,8,7.57,9.28,9.47,9.16,8.5,8.42,9.5,9,10.36,6,5.11,6.01,8.19
11/21/2008,Dallas,91,Memphis,76,9,9.7,6.83,5.02,8.75,8.5,5.32,13.9,10.5,10.08,11,13.44,9.25,5.67
11/21/2008,Golden State,110,Chicago,115,3.5,2.2,-0.2,-0.24,-0.16,4,1.8,3.9,3.5,-1.99,5,6.21,3.79,2.15
11/21/2008,Indiana,98,Orlando,100,-2,0.88,2.52,2.18,2.91,-2,2.1,1.1,2.5,2.38,-1,-4.64,-1.3,5.74
11/21/2008,LA Lakers,104,Denver,90,8,9.02,9.56,8.26,11.21,8,5.98,12.1,11,10.47,8,9.9,9.98,13.96
11/21/2008,Milwaukee,104,New York,87,3,3.36,3.39,2.98,3.85,1.5,3.3,4.9,3.5,3.21,3,4.48,3.65,3.49
11/21/2008,Minnesota,78,Boston,95,-6,-7.92,-10.93,-14.44,-8.6,-6.5,-3.58,-6.7,-7,-10.13,-10,-8.15,-10.82,-6.86
11/21/2008,Oklahoma City,80,New orleans,105,-10,-8.32,-9.5,-9.61,-9.53,-9.5,-4.48,-7.7,-7,-8.52,-12,-8.18,-10.69,-5.46
11/21/2008,Philadelphia,89,LA Clippers,88,9,9.96,11.07,9.11,13.06,10.5,8.78,11.9,11,11.91,12,12.43,12.09,7.21
11/21/2008,Sacramento,96,Portland,117,-4.5,-1.99,-5.03,-3.99,-6.19,-4,1.22,-3,-4,-1.07,-4,-2.11,-2.26,-0.54
11/21/2008,San Antonio,119,Utah,94,4.5,-0.03,-2.58,-1.48,-3.77,2.5,-3.01,2.6,-1.5,1.6,-1,-0.11,-1.76,0.31
11/21/2008,Toronto,127,New Jersey,129,8.5,7.13,6.74,5.62,8.2,10,5.11,11,9,4.77,8,11.35,6.22,5.77
11/21/2008,Washington,91,Houston,103,-6.5,-5.08,-6.52,-6.36,-6.7,-4.5,-2.25,-4.1,-2.5,-5.62,-8,-4.11,-8.65,-4.48
11/22/2008,Charlotte,74,Milwaukee,79,2.5,1.07,-0.37,-0.22,-0.53,3,0.71,4.6,0.01,0.64,2,1.82,-0.38,-1.16
11/22/2008,Cleveland,110,Atlanta,96,12,9.79,7.74,6.1,9.36,10.5,5,10.5,10.5,7.82,11,12.94,12.08,8.03
11/22/2008,Memphis,94,Utah,103,3,-3.6,-2.25,-1.63,-2.92,3,-3.12,-4.4,-3.5,-2.55,-5,-3.46,-8.31,1.68
11/22/2008,Miami,109,Indiana,100,5.5,2.23,0.39,-0.17,0.83,5.5,3.79,6.7,4.5,-0.89,-1,0.85,-3.48,5.01
11/22/2008,New Jersey,112,LA Clippers,95,3.5,6.74,9.31,11.61,6.74,5,5.27,5.9,5.5,9.74,7,2.91,7.44,8.26
11/22/2008,New York,122,Washington,117,2.5,5.85,7.63,8.61,6.56,5.5,3.35,5.1,4.5,7.52,5,8.25,8.08,4.79
11/22/2008,New orleans,109,Oklahoma City,97,15,16.25,16.43,15.66,17.33,15,11.47,18.5,16,14.52,20,19.29,16.69,13.06
11/22/2008,Orlando,95,Houston,100,2.5,3.54,3.48,3.69,3.26,4,2.55,2,3.5,5.63,4,4.86,2.82,7.02
11/22/2008,Phoenix,102,Portland,92,5.5,4.73,2.1,3.31,0.9,6,6.93,3.8,2.5,4.75,2,0.7,6.92,7.52
11/23/2008,Denver,114,Chicago,101,8.5,6.04,4.97,5.02,4.94,7.5,3.39,7.4,7.5,8.37,10,9.46,3.76,5.75
11/23/2008,Detroit,80,Minnesota,106,9.5,13.6,14.24,17.72,11.7,10.5,8.49,16,13.5,7.69,15,13.84,16.84,11.97
11/23/2008,LA Lakers,118,Sacramento,108,17,15.99,19.65,18.03,21.82,16.5,11.22,19.3,18.5,17.4,16,14.44,16.84,18.31
11/23/2008,Philadelphia,89,Golden State,81,6.5,5.79,4.57,3.55,5.54,7,6.45,8.9,7,13.75,5,10.64,2.41,2.65
11/23/2008,Toronto,103,Boston,118,.,-2.54,-4.5,-5.56,-3.82,.,-1.4,-0.9,-1,-5.05,-6,-6.91,-2.98,-1.79
11/24/2008,Charlotte,93,Philadelphia,84,-3,-2.09,-1.63,-0.62,-2.62,-4.5,-2.74,-0.9,-1.5,-14.03,-1,0.92,-1.33,-0.72
11/24/2008,LA Clippers,87,New orleans,99,-5.5,-5.6,-8.36,-7.46,-9.34,-5.5,-3.87,-4.3,-7,-0.65,-9,-8.76,-8.72,-5.47
11/24/2008,Memphis,81,San Antonio,94,-3,-2.94,-1.17,-0.84,-1.54,0,1.73,-3.3,-1,-4.5,-5,-4.93,-1.99,0.22
11/24/2008,Miami,98,Houston,107,-3.5,-0.82,-0.57,-2.19,1.09,-2,2.41,-0.8,2,-0.72,-4,-0.07,-7.16,0.59
11/24/2008,Orlando,108,Milwaukee,101,8.5,7.93,5.18,4.37,6.02,8,6.35,10.1,7.5,9.72,9,10.95,8.77,5.89
11/24/2008,Portland,91,Sacramento,90,11.5,9.61,10.93,9.83,12.14,11.5,5.72,13.6,12,16.67,11,6.72,7.5,8.63
11/24/2008,Utah,100,Chicago,101,6.5,5.95,3.01,2.78,3.25,6,6.1,9,8,3.11,8,7.98,7.53,7.47
11/25/2008,Dallas,109,Indiana,106,8,6.3,3.02,3.22,2.83,7,1.42,9.8,5.5,10.72,5,7.79,5.54,3.6
11/25/2008,LA Lakers,120,New Jersey,93,13.5,12.46,15.1,12.94,17.65,13.5,7.97,17.4,15.5,10.14,15,11.28,15.16,13.57
11/25/2008,New York,101,Cleveland,119,-9,-7.22,-8.37,-6.79,-10.21,-6.5,-3.61,-5,-7.5,-12.08,-9,-9.18,-5.76,-4.03
11/25/2008,Oklahoma City,98,Phoenix,99,-10,-10.09,-11.74,-12.48,-11.07,-10,-5.58,-6.6,-10,-16.86,-14,-6.3,-9.64,-8.38
11/25/2008,Washington,124,Golden State,100,-2,-1.11,-2.42,-2.28,-2.54,1,1.64,3.3,1.5,-6.2,-1,0.84,-5.77,0.33
11/26/2008,Atlanta,102,Milwaukee,96,7.5,4.94,5.14,5.89,4.46,6.5,5.83,8.2,5.5,1.21,4,2.88,4.39,8.67
11/26/2008,Boston,119,Golden State,111,12,12.26,15.04,15.82,14.51,12,10.35,15.1,16,13.62,17,10.14,9.69,15.19
11/26/2008,Cleveland,117,Oklahoma City,82,15.5,19.76,21.07,20.96,21.44,16,13.29,20.1,21,24.02,22,18.88,18.23,17.64
11/26/2008,Detroit,110,New York,96,13,10.14,7.47,8.64,6.78,11.5,8.36,13.8,11,9.47,11,9.49,9.9,10.22
11/26/2008,Houston,90,Indiana,91,8,7.69,6.05,7.7,4.33,10,5.27,12.7,8,3.91,8,6.88,7.82,8.37
11/26/2008,LA Clippers,105,Denver,106,-4,-6.28,-10.31,-10.7,-9.94,-5,-1.92,-2.3,-6.5,-6.61,-10,.,-6.46,-8.53
11/26/2008,Minnesota,102,Phoenix,110,-4,-4.27,-4.9,-7.64,-2.69,-4,-1.32,-2.1,-3,0.03,-5,-5.44,-8.77,-0.99
11/26/2008,Philadelphia,94,Orlando,96,5,0.32,-1.67,-2.3,-1.12,2,2.34,4,2.5,5.07,-3,-0.71,-3.58,0.21
11/26/2008,Portland,106,Miami,68,7.5,5.88,5.67,7.09,4.25,6.5,-0.75,8.5,6.5,8.95,8,10.82,7.99,4.34
11/26/2008,Sacramento,114,New Jersey,116,2.5,0.95,-0.43,-1.95,1.42,2.5,0.15,4,1,-0.02,4,-1.1,0.66,2.83
11/26/2008,San Antonio,98,Chicago,88,7.5,3.87,0.95,0.1,1.76,7,1.25,7.4,4.5,4.84,8,2.66,3.94,1.15
11/26/2008,Toronto,93,Charlotte,86,8.5,7.22,5.73,6.17,5.28,7,6.4,9.4,7.5,7.95,5,7.96,8.8,6.52
11/26/2008,Utah,117,Memphis,100,9.5,10.45,8.71,8.02,9.47,9.5,9.54,14.3,11.5,6.36,11,13.16,11.58,7.67
11/30/2008,Denver,104,Houston,94,4,2.23,1.82,2.68,0.91,5,0.25,1.4,3,3.5,0.01,6.04,-0.45,4.67
11/30/2008,Detroit,85,Portland,96,4,4.19,0.89,4.09,-2.1,4,6.68,5.2,2,-3.38,-2,5.88,8.33,7.86
11/30/2008,LA Lakers,112,Toronto,99,12,12.81,13.49,11.97,15.12,12.5,7.16,13.5,14.5,13.33,15,16.84,12.78,20.68
11/30/2008,Philadelphia,92,Chicago,103,6,2.92,-0.37,-1.67,0.88,6,4.7,5.6,4,13.69,2,7.77,1.57,-1.59
11/30/2008,Phoenix,109,New Jersey,117,9,6.79,5.48,4.44,6.69,9,6.11,9.2,6.5,5.54,7,4.22,9.76,7.15
12/1/2008,Boston,107,Orlando,88,8.5,7.31,6.73,8.21,5.57,8,5.63,9.5,12,7.27,7,10.54,5.03,9.89
12/1/2008,Charlotte,100,Minnesota,90,3.5,4.15,4.25,5.82,3,4,2.22,6.6,4.5,0.01,4,6.12,4.59,2.98
12/1/2008,Golden State,129,Miami,130,-1.5,0.79,-2.24,-1.67,-2.79,-3,-1.67,2.1,-0.5,1.58,1,-4.89,8.66,1.75
12/2/2008,Chicago,95,Philadelphia,103,2,5.01,6.21,7.32,5.13,3,2.03,6,6,-7.69,6,7.15,4.43,7.89
12/2/2008,Dallas,100,LA Clippers,98,11,12.24,12.63,11.08,14.41,12,7.01,13.5,13,13.59,15,16.39,13.63,8.46
12/2/2008,Denver,132,Toronto,93,5,6.41,5.8,5.21,6.39,7.5,3.91,6.7,7,6.52,8,9.48,4.5,8.16
12/2/2008,Indiana,118,LA Lakers,117,-8.5,-5.9,-9.04,-9.71,-8.45,-8,-1.54,-5.8,-5,-4.7,-7,-8.9,-6.65,-6.66
12/2/2008,New Jersey,88,Washington,108,6.5,8.7,9.51,12.01,7.07,6,5.19,7.6,7,10.22,8,14.6,8.94,8.44
12/2/2008,New York,97,Portland,104,-7.5,-4.35,-5.69,-3.87,-7.78,-7,0.61,-4.1,-5.5,-10.04,-10,-9.19,1.43,-3.07
12/2/2008,Sacramento,94,Utah,99,-1.5,-3.52,-4.88,-4.08,-5.72,3.5,-5.21,-3.2,-5,1.28,-5,1.51,-6.21,-3.18
12/2/2008,San Antonio,77,Detroit,89,5,1.86,-0.41,-1.9,0.84,4.5,-1.52,3.4,2.5,2.52,4,8.17,-1.21,-1.64
12/3/2008,Atlanta,105,Memphis,95,8.5,9.97,12.13,13.25,11.1,9,9.33,12.6,10.5,11.3,10,12.45,7.82,8.42
12/3/2008,Boston,114,Indiana,96,14,10.76,9.93,11.85,8.33,12,8.58,14.1,15,13.69,12,9.69,10.01,10.12
12/3/2008,Charlotte,103,Oklahoma City,97,8.5,10.2,10.02,10.43,9.64,8.5,6.28,10.5,10,14.94,11,14.14,5.46,9.56
12/3/2008,Cleveland,118,New York,82,15,14.88,14.1,12.53,15.98,14.5,11.21,16.1,18.5,20.02,17,17.91,11.76,10.4
